filename,target,category,fold
3-3-29.wav,3,dry_cough,2
10-3-30.wav,3,dry_cough,2
11-2-24.wav,2,croup_cough,2
15-4-24.wav,0,wet_cough,2
16-4-21.wav,0,wet_cough,2
17-3-28.wav,3,dry_cough,2
22-3-23.wav,3,dry_cough,2
23-1-29.wav,1,whooping_cough,2
32-1-32.wav,1,whooping_cough,2
33-3-34.wav,3,dry_cough,2
38-4-28.wav,0,wet_cough,2
43-2-38.wav,2,croup_cough,2
45-1-38.wav,1,whooping_cough,2
46-1-39.wav,1,whooping_cough,2
47-2-28.wav,2,croup_cough,2
48-4-33.wav,0,wet_cough,2
51-4-30.wav,0,wet_cough,2
52-1-31.wav,1,whooping_cough,2
53-3-21.wav,3,dry_cough,2
56-1-21.wav,1,whooping_cough,2
62-3-32.wav,3,dry_cough,2
64-4-27.wav,0,wet_cough,2
65-3-26.wav,3,dry_cough,2
68-2-25.wav,2,croup_cough,2
76-1-24.wav,1,whooping_cough,2
80-1-40.wav,1,whooping_cough,2
85-2-35.wav,2,croup_cough,2
86-3-31.wav,3,dry_cough,2
94-3-24.wav,3,dry_cough,2
97-1-30.wav,1,whooping_cough,2
107-3-36.wav,3,dry_cough,2
108-2-39.wav,2,croup_cough,2
111-4-34.wav,0,wet_cough,2
114-2-27.wav,2,croup_cough,2
116-3-38.wav,3,dry_cough,2
117-4-35.wav,0,wet_cough,2
127-2-21.wav,2,croup_cough,2
130-1-27.wav,1,whooping_cough,2
131-3-27.wav,3,dry_cough,2
138-2-32.wav,2,croup_cough,2
140-2-22.wav,2,croup_cough,2
144-4-37.wav,0,wet_cough,2
146-1-34.wav,1,whooping_cough,2
150-2-36.wav,2,croup_cough,2
153-1-22.wav,1,whooping_cough,2
154-4-38.wav,0,wet_cough,2
160-4-26.wav,0,wet_cough,2
162-3-39.wav,3,dry_cough,2
163-3-22.wav,3,dry_cough,2
164-2-31.wav,2,croup_cough,2
176-2-34.wav,2,croup_cough,2
181-2-37.wav,2,croup_cough,2
184-4-22.wav,0,wet_cough,2
199-1-23.wav,1,whooping_cough,2
205-4-36.wav,0,wet_cough,2
207-4-39.wav,0,wet_cough,2
210-3-33.wav,3,dry_cough,2
212-3-35.wav,3,dry_cough,2
216-1-33.wav,1,whooping_cough,2
217-3-40.wav,3,dry_cough,2
219-1-37.wav,1,whooping_cough,2
221-1-26.wav,1,whooping_cough,2
222-1-28.wav,1,whooping_cough,2
224-2-30.wav,2,croup_cough,2
228-2-29.wav,2,croup_cough,2
232-2-26.wav,2,croup_cough,2
233-4-25.wav,0,wet_cough,2
235-4-40.wav,0,wet_cough,2
239-1-35.wav,1,whooping_cough,2
244-2-33.wav,2,croup_cough,2
250-1-36.wav,1,whooping_cough,2
253-2-40.wav,2,croup_cough,2
254-2-23.wav,2,croup_cough,2
255-4-29.wav,0,wet_cough,2
256-3-25.wav,3,dry_cough,2
260-3-37.wav,3,dry_cough,2
261-1-25.wav,1,whooping_cough,2
262-4-23.wav,0,wet_cough,2
266-4-32.wav,0,wet_cough,2
279-4-31.wav,0,wet_cough,2
